0,5147570262663048 0,036073977623456786
0,5161004668309054 0,037253182870370355
0,5169717060006664 0,038429880401234545
0,5182872750642673 0,03931249999999999
0,5215641289988575 0,040089409722222226
0,5249935658264304 0,03960407021604938
0,5283228303817956 0,038532793209876536
0,5305899975998921 0,03756928369341565
0,5323599829612174 0,036520093878600834
0,5332088674069315 0,03552729552469135
0,5339856742319654 0,034531989454732515
0,5347696491478622 0,03340432098765432
0,5356206113729406 0,03243846450617284
0,5358875365966864 0,03165885416666668
0,5364203754284487 0,030567997685185186
0,5369628543630388 0,029602141203703698
0,5375117600328474 0,028719618055555552
0,5377915660009835 0,027640978652263372
0,5380623207357422 0,026437258873456798
0,5383491348701956 0,02521646733539095
0,5388755469667396 0,024042277520576118
0,5390838356699671 0,022743087705761285
0,5393011842846486 0,021561374742798352
0,5393966827930117 0,020438560956790135
0,5399263082571647 0,01930603780864197
0,5401667306364848 0,01842351466049382
0,5406963561006379 0,017290991512345665
0,5412212582119393 0,016097222222222186
0,5414497569146909 0,015060088734567906
0,5416708544582504 0,013917727623456791
0,5417728243319371 0,01288808513374487
0,5429258431122854 0,011838895318930044
0,5435396657502617 0,010858314043209874
0,543883272933924 0,009892457561728393
0,5444225385009047 0,008884934413580237
0,5449521639650577 0,00775241126543208
0,5457889375357041 0,006602575231481486
0,5470082233449176 0,00546511702674897
0,5495848086062709 0,004288419495884772
0,5518696270311656 0,0028469971707818925
0,5547248405217556 0,0015084876543209821
0,5579274845083944 0,0006749935699588427
0,5641566298517884 0,0007240226337448599
0,5709913982909643 0,0006259645061728394
0,5775252457631153 0,0006259645061728394
0,5840666555587293 0,0007240226337448599
